case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
149,29,27,2,2,1900000149,1,0,0,1748,1,0,30,30,6040,0
150,30,28,3,0,1900000150,0,1,0,466,1,0,85,11,1710,0
150,30,28,3,0,1900000150,1,1,1,361,1,8,0,9,1530,0
151,31,29,4,1,1900000151,0,2,0,2207,1,0,99,40,6750,0
151,31,29,4,1,1900000151,1,2,0,2324,2,98,57,44,6980,0
152,32,30,5,2,1900000152,0,3,0,1898,1,0,85,33,5830,0
152,32,30,5,2,1900000152,1,3,0,1212,2,24,68,21,3830,0
153,33,31,0,0,1900000153,0,0,0,1297,1,0,44,24,4050,0
153,33,31,0,0,1900000153,1,0,1,1671,1,22,0,32,5410,0
154,34,32,1,1,1900000154,0,1,0,464,1,0,38,10,1860,0
154,34,32,1,1,1900000154,1,1,0,467,1,0,41,10,1860,0
155,35,33,2,2,1900000155,0,2,0,2345,1,0,96,42,7500,0
155,35,33,2,2,1900000155,1,2,0,1844,1,0,82,34,5970,0
156,36,34,3,0,1900000156,0,3,0,794,1,0,98,13,2350,0
156,36,34,3,0,1900000156,1,3,0,958,1,0,77,17,3330,0
157,37,35,4,1,1900000157,0,0,1,1432,1,36,0,26,4720,0
157,37,35,4,1,1900000157,1,0,1,1975,1,36,0,36,6370,0
158,38,36,5,2,1900000158,0,1,1,803,1,15,0,13,2480,0
158,38,36,5,2,1900000158,1,1,0,827,2,104,93,13,2360,0
159,39,37,0,0,1900000159,0,2,0,1073,1,0,96,19,3840,0
159,39,37,0,0,1900000159,1,2,0,2339,1,0,83,39,7920,0
160,0,5,2,2,1900000160,0,0,0,2700,3,53,25,49,8510,0
160,0,5,2,2,1900000160,1,0,1,2700,3,41,51,49,8510,0
161,1,6,3,0,1900000161,0,1,0,2476,1,0,131,25,4430,0
161,1,6,3,0,1900000161,1,1,0,1954,2,56,120,32,5390,0
162,2,7,4,1,1900000162,0,2,0,662,1,0,29,13,2620,0
162,2,7,4,1,1900000162,1,2,0,603,1,0,45,12,2320,0
163,3,8,5,2,1900000163,0,3,0,1489,1,0,44,28,4790,0
163,3,8,5,2,1900000163,1,3,0,1360,1,0,104,27,4650,0
164,4,9,0,0,1900000164,0,0,0,2700,3,97,97,53,9130,0
164,4,9,0,0,1900000164,1,0,0,2700,3,31,55,53,9290,0
165,5,10,1,1,1900000165,0,1,0,1956,1,0,85,34,6480,0
165,5,10,1,1,1900000165,1,1,0,2073,1,0,82,35,7000,0
166,6,11,2,2,1900000166,0,2,0,2700,3,6,117,48,8520,0
166,6,11,2,2,1900000166,1,2,0,2700,3,40,61,48,8590,0
167,7,12,3,0,1900000167,0,3,0,847,1,0,81,18,2910,0
167,7,12,3,0,1900000167,1,3,0,379,1,0,101,9,1680,0
168,8,13,4,1,1900000168,0,0,0,1300,1,0,59,22,4140,0
168,8,13,4,1,1900000168,1,0,1,1120,2,102,86,16,3430,0
169,9,14,5,2,1900000169,0,1,1,2700,3,137,48,38,7930,0
169,9,14,5,2,1900000169,1,1,0,2133,2,149,110,26,5920,0
170,10,15,0,0,1900000170,0,2,1,1066,1,112,0,21,3750,0
170,10,15,0,0,1900000170,1,2,1,1370,1,100,0,25,4680,0
171,11,16,1,1,1900000171,0,3,0,2700,3,110,79,42,8840,0
171,11,16,1,1,1900000171,1,3,0,2700,3,31,62,44,8680,0
172,12,17,2,2,1900000172,0,0,0,409,1,0,37,9,1740,0
172,12,17,2,2,1900000172,1,0,0,242,1,0,67,7,1350,0
173,13,18,3,0,1900000173,0,1,0,783,1,0,61,13,2630,0
173,13,18,3,0,1900000173,1,1,1,940,1,18,0,14,2920,0
174,14,19,4,1,1900000174,0,2,1,2700,3,69,110,51,8120,0
174,14,19,4,1,1900000174,1,2,1,2700,3,90,132,50,8000,0
175,15,20,5,2,1900000175,0,3,0,1305,2,118,102,19,3380,0
175,15,20,5,2,1900000175,1,3,0,871,1,0,102,13,2330,0
176,16,21,0,0,1900000176,0,0,1,2501,1,55,0,39,8730,0
176,16,21,0,0,1900000176,1,0,1,2615,1,49,0,42,8930,0
177,17,22,1,1,1900000177,0,1,1,1792,1,76,0,28,5980,0
177,17,22,1,1,1900000177,1,1,1,1721,1,120,0,26,5740,0
178,18,23,2,2,1900000178,0,2,0,1343,1,0,22,25,3800,0
178,18,23,2,2,1900000178,1,2,0,1175,1,0,74,22,3860,0
179,19,24,3,0,1900000179,0,3,1,2700,3,52,80,47,8180,0
179,19,24,3,0,1900000179,1,3,0,2700,3,4,85,47,8140,0
180,20,25,4,1,1900000180,0,0,1,1171,1,57,0,22,4120,0
180,20,25,4,1,1900000180,1,0,0,874,1,0,104,17,3180,0
181,21,26,5,2,1900000181,0,1,0,2167,1,0,57,39,6770,0
181,21,26,5,2,1900000181,1,1,0,1055,1,0,93,19,3430,0
182,22,27,0,0,1900000182,0,2,0,1474,1,0,15,22,5300,0
182,22,27,0,0,1900000182,1,2,0,2071,1,0,67,36,7560,0
183,23,28,1,1,1900000183,0,3,0,729,1,0,63,15,2640,0
183,23,28,1,1,1900000183,1,3,0,561,1,0,71,12,2130,0
184,24,29,2,2,1900000184,0,0,0,2700,3,89,68,42,9120,0
184,24,29,2,2,1900000184,1,0,1,2023,1,42,0,33,6960,0
185,25,30,3,0,1900000185,0,1,0,581,1,0,62,10,1820,0
185,25,30,3,0,1900000185,1,1,0,1916,1,0,40,33,5940,0
186,26,31,4,1,1900000186,0,2,1,2054,1,39,0,38,6520,0
186,26,31,4,1,1900000186,1,2,0,1610,1,0,65,31,5130,0
187,27,32,5,2,1900000187,0,3,0,1163,2,97,121,19,3470,0
