case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
53,13,37,0,0,2150000053,1,2,0,2054,1,0,99,32,5916,0,STEADY,685,3.99456,5.32051,0.471128,0.29781,0.251095,39,7,21,1,2,1,7,51,104,0,0,121,bac8138c,0
54,14,38,1,0,2150000054,0,3,1,394,1,69,0,11,1400,0,STEADY,132,2.51763,2.12014,0.483576,0.0227273,0.00757576,0,0,5,5,0,0,1,104,44,0,0,25,bac8138c,0
54,14,38,1,0,2150000054,1,3,1,328,1,76,0,9,1200,0,STEADY,110,2.54769,1.90634,0.577736,0,0.0272727,0,0,4,4,1,0,0,104,37,0,0,0,bac8138c,0
55,15,39,2,0,2150000055,0,0,1,2458,1,10,0,44,7214,0,STEADY,820,2.84663,1.23417,0.282984,0.528049,0.204878,147,16,12,23,0,4,5,114,108,0,10,98,bac8138c,0
55,15,39,2,0,2150000055,1,0,1,1732,1,84,0,30,5015,0,STEADY,578,2.76638,2.07148,0.352216,0.371972,0.117647,0,0,8,15,0,4,3,114,34,0,24,120,bac8138c,0
56,16,0,3,0,2150000056,0,1,1,914,1,79,0,16,2814,0,STEADY,305,2.10169,8.54998,0.204984,0.00983607,0.0131148,0,0,13,0,0,0,3,113,36,0,0,0,bac8138c,0
56,16,0,3,0,2150000056,1,1,1,1065,1,95,0,18,3310,0,STEADY,355,1.9924,8.60429,0.251572,0.0309859,0.0225352,0,0,11,1,0,0,6,113,20,0,0,0,bac8138c,0
57,17,1,4,0,2150000057,0,2,1,334,1,4,0,7,987,0,STEADY,112,3.351,3.42314,0.642893,0.223214,0,27,0,4,0,0,2,1,142,112,12,0,17,bac8138c,0
57,17,1,4,0,2150000057,1,2,0,550,1,0,21,11,1453,0,STEADY,184,2.96015,2.40547,0.674772,0.445652,0.119565,32,3,7,0,0,4,0,127,110,18,0,98,bac8138c,0
58,18,2,5,0,2150000058,0,3,1,915,1,59,0,14,1925,0,STEADY,305,2.03286,2.6982,0.305957,0.00655738,0.0721311,0,0,13,0,0,0,1,94,70,0,0,2,bac8138c,0
58,18,2,5,0,2150000058,1,3,1,1629,1,69,0,18,2505,0,STEADY,543,1.58345,3.10442,0.192788,0.0128913,0.0773481,0,0,18,0,0,0,0,94,60,0,0,5,bac8138c,0
59,19,3,0,0,2150000059,0,0,1,794,1,88,0,14,2547,0,STEADY,265,3.26913,6.22132,0.241211,0.249057,0.0490566,0,0,9,0,0,3,2,100,44,0,6,29,bac8138c,0
59,19,3,0,0,2150000059,1,0,0,926,1,0,47,17,3053,0,STEADY,309,3.05483,2.44503,0.231369,0.281553,0.288026,112,46,13,1,0,1,2,47,132,0,6,119,bac8138c,0
60,20,4,1,0,2150000060,0,1,0,928,1,0,36,17,3010,0,STEADY,310,3.89976,2.71061,0.274145,0.435484,0.296774,180,64,13,0,0,2,2,87,102,0,25,343,bac8138c,0
60,20,4,1,0,2150000060,1,1,0,1890,1,0,14,33,5820,0,STEADY,630,3.8547,2.1257,0.21321,0.419048,0.195238,145,38,26,0,0,2,5,109,102,0,14,415,bac8138c,0
61,21,5,2,0,2150000061,0,2,1,817,1,106,0,16,2174,0,STEADY,273,2.16922,3.08163,0.267187,0,0.117216,0,0,5,11,0,0,0,141,18,0,0,55,bac8138c,0
61,21,5,2,0,2150000061,1,2,1,670,1,114,0,14,1931,0,STEADY,224,2.39443,3.09387,0.308513,0,0.0357143,0,0,5,9,0,0,0,141,10,0,0,1,bac8138c,0
62,22,6,3,0,2150000062,0,3,1,1768,1,57,0,28,6200,0,STEADY,590,2.29802,1.82558,0.204122,0.279661,0.142373,18,0,12,4,8,0,4,131,118,0,55,5,bac8138c,0
62,22,6,3,0,2150000062,1,3,0,2101,1,0,57,32,7330,0,STEADY,701,2.7963,2.04841,0.251749,0.338088,0.275321,335,78,6,9,11,0,6,74,175,0,84,13,bac8138c,0
63,23,7,4,0,2150000063,0,0,1,364,1,81,0,9,1311,0,STEADY,122,2.27807,3.27202,0.409664,0.122951,0,0,0,5,3,0,0,1,100,40,16,0,0,bac8138c,0
63,23,7,4,0,2150000063,1,0,1,418,1,92,0,10,1350,0,STEADY,140,2.14781,4.67247,0.5231,0.107143,0.0357143,0,0,7,3,0,0,0,100,20,7,0,6,bac8138c,0
64,24,8,5,0,2150000064,0,1,1,1183,1,12,0,16,3066,0,STEADY,395,2.97384,8.24434,0.4,0.255696,0.15443,17,7,5,2,1,3,5,116,113,0,24,0,bac8138c,0
64,24,8,5,0,2150000064,1,1,0,748,1,0,46,13,2251,0,STEADY,250,3.45202,6.93874,0.405248,0.308,0.036,112,6,6,2,1,2,2,70,125,0,4,0,bac8138c,0
65,25,9,0,0,2150000065,0,2,0,2504,1,0,114,37,6882,0,STEADY,835,3.18826,2.40036,0.401848,0.271856,0.306587,56,16,5,11,7,0,14,65,104,0,32,281,bac8138c,0
65,25,9,0,0,2150000065,1,2,0,1351,1,0,129,23,4012,0,STEADY,451,3.20406,2.48078,0.405834,0.396896,0.241685,49,18,4,11,2,0,6,42,104,0,18,266,bac8138c,0
