case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
26,26,3,2,0,2160000026,0,2,1,889,1,54,0,18,2722,0,STEADY,297,3.13836,3.88417,0.250185,0.141414,0.175084,0,0,8,9,0,0,1,106,54,0,0,65,e617ab48,0
26,26,3,2,0,2160000026,1,2,1,800,1,67,0,14,2256,0,STEADY,267,2.58292,5.54289,0.279569,0.142322,0.0898876,0,0,4,8,0,0,2,106,41,0,0,50,e617ab48,0
27,27,4,3,0,2160000027,0,3,0,1048,1,0,51,17,3107,0,STEADY,350,4.84408,2.99913,0.244497,0.38,0.234286,125,62,15,1,0,0,1,85,145,0,0,95,e617ab48,0
27,27,4,3,0,2160000027,1,3,0,1113,1,0,72,21,3680,0,STEADY,371,4.99328,2.25414,0.240415,0.509434,0.250674,191,72,19,1,0,0,1,51,145,0,0,309,e617ab48,0
28,28,5,4,0,2160000028,0,0,0,745,1,0,27,15,2790,0,STEADY,249,3.50189,2.29316,0.236594,0.686747,0.0682731,80,11,3,11,0,0,1,114,111,0,0,113,e617ab48,0
28,28,5,4,0,2160000028,1,0,1,645,1,65,0,13,2524,0,STEADY,215,4.53977,2.57265,0.260419,0.64186,0.0511628,0,0,3,9,1,0,0,141,46,0,0,410,e617ab48,0
29,29,6,5,0,2160000029,0,1,0,1346,1,0,82,22,3928,0,STEADY,449,4.27413,4.52651,0.245385,0.329621,0.0957684,206,0,9,6,5,1,1,49,102,0,23,244,e617ab48,0
29,29,6,5,0,2160000029,1,1,0,1475,1,0,86,21,4141,0,STEADY,492,3.96694,7.13432,0.174581,0.276423,0.134146,38,12,6,4,7,1,3,45,102,0,27,10,e617ab48,0
30,30,7,0,0,2160000030,0,2,0,529,1,0,36,11,1730,0,STEADY,177,3.04495,2.48435,0.251819,0.0621469,0.338983,65,4,8,3,0,0,0,64,125,0,0,6,e617ab48,0
30,30,7,0,0,2160000030,1,2,1,531,1,1,0,11,1733,0,STEADY,177,2.99107,2.61269,0.273746,0.0508475,0.299435,78,9,8,3,0,0,0,100,124,0,0,39,e617ab48,0
