a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
2,0,6047,2,3,3,2,0,640,1,70,0,60,255,0
0,2,6048,0,4,2,3,0,710,1,49,0,20,0,0
2,0,6048,0,4,3,2,1,710,1,0,49,0,20,0
0,2,6049,1,4,2,3,0,799,1,38,0,5,97,0
2,0,6049,1,4,3,2,1,1050,1,0,14,205,58,0
0,2,6050,2,4,2,3,1,783,1,0,10,39,379,0
2,0,6050,2,4,3,2,0,572,1,54,0,192,65,0
0,2,6051,0,5,2,3,1,935,1,0,18,198,348,0
2,0,6051,0,5,3,2,0,1873,1,3,0,303,417,0
0,2,6052,1,5,2,3,1,2104,1,0,16,393,576,0
2,0,6052,1,5,3,2,1,1199,1,0,68,598,155,0
0,2,6053,2,5,2,3,1,733,1,0,30,65,126,0
2,0,6053,2,5,3,2,0,1372,1,27,0,530,148,0
0,2,6054,0,0,3,0,1,429,1,0,45,135,0,0
2,0,6054,0,0,0,3,0,373,1,33,0,0,133,0
0,2,6055,1,0,3,0,0,500,1,47,0,200,0,0
2,0,6055,1,0,0,3,0,774,1,57,0,0,168,0
0,2,6056,2,0,3,0,0,346,1,47,0,225,0,0
2,0,6056,2,0,0,3,0,667,1,81,0,2,92,0
0,2,6057,0,1,3,0,1,771,1,0,65,82,0,0
2,0,6057,0,1,0,3,0,771,1,65,0,0,86,0
0,2,6058,1,1,3,0,0,248,1,35,0,110,0,0
2,0,6058,1,1,0,3,0,412,1,58,0,49,40,0
0,2,6059,2,1,3,0,0,327,1,10,0,161,0,0
2,0,6059,2,1,0,3,0,265,1,94,0,0,0,0
0,2,6060,0,2,3,0,0,253,1,72,0,25,0,0
2,0,6060,0,2,0,3,1,257,1,0,72,0,25,0
0,2,6061,1,2,3,0,0,351,1,10,0,72,0,0
2,0,6061,1,2,0,3,0,208,1,94,0,39,0,0
0,2,6062,2,2,3,0,1,477,1,0,21,96,0,0
2,0,6062,2,2,0,3,0,211,1,94,0,0,0,0
0,2,6063,0,3,3,0,0,897,1,12,0,246,0,0
2,0,6063,0,3,0,3,1,897,1,0,12,0,246,0
0,2,6064,1,3,3,0,1,1057,1,0,37,232,0,0
2,0,6064,1,3,0,3,1,531,1,0,9,0,264,0
0,2,6065,2,3,3,0,1,1992,1,0,5,456,94,0
2,0,6065,2,3,0,3,1,960,1,0,55,87,182,0
0,2,6066,0,4,3,0,1,403,1,0,52,251,0,0
2,0,6066,0,4,0,3,0,403,1,36,0,0,251,0
0,2,6067,1,4,3,0,1,854,1,0,22,370,49,0
2,0,6067,1,4,0,3,1,464,1,0,81,0,340,0
0,2,6068,2,4,3,0,1,774,1,0,34,391,0,0
2,0,6068,2,4,0,3,0,659,1,20,0,37,167,0
0,2,6069,0,5,3,0,0,781,1,76,0,151,92,0
2,0,6069,0,5,0,3,0,1231,1,9,0,231,298,0
0,2,6070,1,5,3,0,0,1051,1,41,0,193,125,0
2,0,6070,1,5,0,3,1,1320,1,0,64,230,298,0
0,2,6071,2,5,3,0,0,1204,1,63,0,467,208,0
2,0,6071,2,5,0,3,0,1324,1,4,0,282,310,0
0,3,6000,0,0,0,1,0,1398,1,12,0,142,264,0
3,0,6000,0,0,1,0,0,1217,1,8,0,39,48,0
0,3,6001,1,0,0,1,0,1230,1,80,0,215,166,0
3,0,6001,1,0,1,0,1,960,1,0,17,19,69,0
0,3,6002,2,0,0,1,1,1095,1,0,20,131,74,0
3,0,6002,2,0,1,0,0,1472,1,11,0,51,53,0
0,3,6003,0,1,0,1,0,798,1,83,0,0,26,0
3,0,6003,0,1,1,0,1,798,1,0,83,26,0,0
0,3,6004,1,1,0,1,1,1408,1,0,20,0,43,0
3,0,6004,1,1,1,0,1,893,1,0,12,143,79,0
0,3,6005,2,1,0,1,0,1627,1,61,0,52,56,0
3,0,6005,2,1,1,0,1,1034,1,0,33,88,31,0
0,3,6006,0,2,0,1,0,1158,1,47,0,21,26,0
3,0,6006,0,2,1,0,1,840,1,0,46,19,17,0
0,3,6007,1,2,0,1,0,1050,1,69,0,12,69,0
3,0,6007,1,2,1,0,1,1174,1,0,16,84,38,0
0,3,6008,2,2,0,1,1,1036,1,0,24,0,27,0
3,0,6008,2,2,1,0,1,1435,1,0,41,143,95,0
0,3,6009,0,3,0,1,0,1693,1,91,0,355,293,0
3,0,6009,0,3,1,0,1,1693,1,0,91,293,355,0
0,3,6010,1,3,0,1,0,1109,1,28,0,168,128,0
3,0,6010,1,3,1,0,0,846,1,16,0,42,17,0
0,3,6011,2,3,0,1,0,1609,1,2,0,336,359,0
3,0,6011,2,3,1,0,1,1160,1,0,45,126,140,0
