a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
4,0,2013,1,1,2,1,0,586,1,18,0,21,51,0
0,4,2014,2,1,1,2,-1,870,1,0,0,232,197,0
4,0,2014,2,1,2,1,0,766,1,56,0,10,5,0
0,4,2015,0,2,1,2,0,421,1,37,0,65,0,0
4,0,2015,0,2,2,1,1,543,1,0,45,0,45,0
0,4,2016,1,2,1,2,0,493,1,64,0,35,0,0
4,0,2016,1,2,2,1,1,606,1,0,48,126,115,0
0,4,2017,2,2,1,2,0,360,1,73,0,86,0,0
4,0,2017,2,2,2,1,1,441,1,0,66,184,0,0
0,4,2018,0,0,2,3,1,1200,1,0,59,0,556,0
4,0,2018,0,0,3,2,0,1200,1,54,0,556,0,0
0,4,2019,1,0,2,3,0,540,1,54,0,47,97,0
4,0,2019,1,0,3,2,0,637,1,54,0,229,0,0
0,4,2020,2,0,2,3,0,491,1,34,0,101,26,0
4,0,2020,2,0,3,2,0,1170,1,18,0,216,229,0
0,4,2021,0,1,2,3,0,770,1,28,0,36,93,0
4,0,2021,0,1,3,2,1,770,1,0,28,93,36,0
0,4,2022,1,1,2,3,0,580,1,75,0,378,0,0
4,0,2022,1,1,3,2,0,739,1,22,0,92,13,0
0,4,2023,2,1,2,3,1,930,1,0,35,462,0,0
4,0,2023,2,1,3,2,1,364,1,0,28,32,0,0
0,4,2024,0,2,2,3,0,467,1,46,0,37,88,0
4,0,2024,0,2,3,2,1,373,1,0,68,81,0,0
0,4,2025,1,2,2,3,0,420,1,35,0,69,78,0
4,0,2025,1,2,3,2,1,706,1,0,24,12,0,0
0,4,2026,2,2,2,3,1,1069,1,0,44,91,273,0
4,0,2026,2,2,3,2,1,549,1,0,81,49,8,0
0,4,2027,0,0,3,0,0,660,1,74,0,0,115,0
4,0,2027,0,0,0,3,1,660,1,0,74,115,0,0
0,4,2028,1,0,3,0,0,582,1,23,0,121,71,0
4,0,2028,1,0,0,3,1,840,1,0,10,443,84,0
0,4,2029,2,0,3,0,0,582,1,29,0,144,137,0
4,0,2029,2,0,0,3,1,508,1,0,44,205,73,0
0,4,2030,0,1,3,0,1,1170,1,0,16,111,23,0
4,0,2030,0,1,0,3,0,1170,1,16,0,23,111,0
0,4,2031,1,1,3,0,0,1180,1,7,0,427,52,0
4,0,2031,1,1,0,3,0,1320,1,31,0,353,396,0
0,4,2032,2,1,3,0,0,630,1,59,0,402,0,0
4,0,2032,2,1,0,3,1,930,2,83,8,92,600,0
0,4,2033,0,2,3,0,0,480,1,43,0,74,31,0
4,0,2033,0,2,0,3,1,445,1,0,64,49,4,0
0,4,2034,1,2,3,0,0,404,1,74,0,295,0,0
4,0,2034,1,2,0,3,1,558,1,0,32,60,92,0
0,4,2035,2,2,3,0,0,540,1,12,0,7,21,0
4,0,2035,2,2,0,3,1,625,1,0,37,71,29,0
0,5,2000,0,0,0,1,1,823,1,0,40,207,36,0
5,0,2000,0,0,1,0,0,823,1,40,0,36,207,0
0,5,2001,1,0,0,1,0,775,1,4,0,138,35,0
5,0,2001,1,0,1,0,0,1054,1,4,0,0,49,0
0,5,2002,2,0,0,1,1,721,1,0,19,30,21,0
5,0,2002,2,0,1,0,1,1260,1,0,23,0,176,0
0,5,2003,0,1,0,1,0,760,1,18,0,30,39,0
5,0,2003,0,1,1,0,1,760,1,0,18,39,30,0
0,5,2004,1,1,0,1,1,784,1,0,32,34,79,0
5,0,2004,1,1,1,0,1,720,1,0,3,75,50,0
0,5,2005,2,1,0,1,1,1066,1,0,7,49,40,0
5,0,2005,2,1,1,0,1,1050,1,0,6,53,64,0
0,5,2006,0,2,0,1,0,470,1,4,0,16,0,0
5,0,2006,0,2,1,0,1,470,1,0,4,0,16,0
