case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
32,32,9,2,0,2150000032,1,0,1,1035,1,34,0,19,3357,0,STEADY,345,3.0221,5.59341,0.15822,0.0753623,0.298551,8,0,17,0,1,0,1,151,87,0,0,122,e617ab48,0
33,33,10,3,0,2150000033,0,1,0,552,1,0,60,12,2050,0,STEADY,184,4.33881,2.14058,0.34762,0.255435,0.255435,46,13,5,3,4,0,0,64,152,0,0,237,e617ab48,0
33,33,10,3,0,2150000033,1,1,1,610,1,35,0,14,2130,0,STEADY,204,3.09872,1.7642,0.264137,0.142157,0.0980392,77,16,5,1,7,0,1,124,117,0,0,101,e617ab48,0
34,34,11,4,0,2150000034,0,2,1,1170,1,52,0,18,3233,0,STEADY,390,3.3371,5.47455,0.175621,0.241026,0.0128205,292,0,1,15,0,1,1,141,88,0,0,80,e617ab48,0
34,34,11,4,0,2150000034,1,2,1,811,1,37,0,16,2430,0,STEADY,271,3.16299,1.56257,0.213498,0.357934,0.0627306,60,10,8,7,0,0,1,129,103,0,0,235,e617ab48,0
35,35,12,5,0,2150000035,0,3,0,562,1,0,63,13,1970,0,STEADY,188,3.96466,2.01559,0.22475,0.207447,0.18617,47,14,3,7,1,1,1,48,101,0,10,206,e617ab48,0
35,35,12,5,0,2150000035,1,3,0,1279,1,0,15,23,3176,0,STEADY,427,1.9579,2.68,0.115569,0.0796253,0.0725995,253,21,4,17,1,1,0,96,101,0,10,120,e617ab48,0
36,36,13,0,0,2150000036,0,0,0,1207,1,0,2,18,3511,0,STEADY,403,4.70512,6.05277,0.232888,0.163772,0.109181,38,17,3,12,0,0,3,102,93,0,0,72,e617ab48,0
36,36,13,0,0,2150000036,1,0,0,208,1,0,62,6,1160,0,STEADY,70,7.15162,2.86405,0.586329,0.214286,0.0714286,19,0,2,4,0,0,0,42,93,0,0,73,e617ab48,0
37,37,14,1,0,2150000037,0,1,0,606,1,0,9,12,2148,0,STEADY,202,2.83829,2.8141,0.248703,0.0594059,0.643564,42,17,10,0,1,0,1,104,150,0,0,43,e617ab48,0
37,37,14,1,0,2150000037,1,1,0,519,1,0,26,10,1817,0,STEADY,173,2.82702,2.06696,0.275919,0.0578035,0.606936,41,22,8,0,1,0,1,87,150,0,0,41,e617ab48,0
38,38,15,2,0,2150000038,0,2,1,434,1,44,0,10,1850,0,STEADY,145,5.39279,3.17705,0.326572,0.648276,0.193103,0,0,4,4,0,1,1,118,60,0,0,1,e617ab48,0
38,38,15,2,0,2150000038,1,2,1,445,1,68,0,10,1870,0,STEADY,149,5.14412,3.29946,0.364503,0.711409,0.100671,0,0,5,3,1,1,0,118,36,0,0,35,e617ab48,0
39,39,16,3,0,2150000039,0,3,1,679,1,51,0,13,2204,0,STEADY,227,3.47306,2.43168,0.305705,0.15859,0.0837004,0,0,7,1,2,2,1,115,63,0,25,68,e617ab48,0
39,39,16,3,0,2150000039,1,3,1,901,1,39,0,16,2471,0,STEADY,301,2.54609,2.14745,0.200186,0.0598007,0.119601,48,4,11,1,1,1,2,115,75,0,17,49,e617ab48,0
40,0,24,5,0,2150000040,0,1,1,862,1,21,0,19,2880,0,STEADY,288,5.10981,2.81899,0.339403,0.28125,0.0972222,47,5,9,9,0,1,0,125,92,0,0,70,e617ab48,0
40,0,24,5,0,2150000040,1,1,1,526,1,5,0,13,1890,0,STEADY,176,4.05457,4.6905,0.334239,0.176136,0.232955,53,12,7,5,0,0,1,125,108,0,0,16,e617ab48,0
41,1,25,0,0,2150000041,0,2,1,1147,1,31,0,18,3191,0,STEADY,383,2.64529,5.83327,0.186702,0.326371,0.0261097,30,0,4,10,0,1,3,104,105,0,24,64,e617ab48,0
41,1,25,0,0,2150000041,1,2,1,733,1,101,0,13,2040,0,STEADY,245,2.81203,2.28909,0.187878,0.314286,0.077551,0,0,8,2,0,1,2,104,35,0,16,120,e617ab48,0
42,2,26,1,0,2150000042,0,3,0,539,1,0,55,9,1840,0,STEADY,180,4.84545,4.37725,0.287289,0.533333,0.116667,64,12,3,5,0,0,1,53,94,0,0,0,e617ab48,0
42,2,26,1,0,2150000042,1,3,0,623,1,0,16,12,2281,0,STEADY,208,4.48747,3.90156,0.249553,0.471154,0.173077,43,10,3,8,0,0,1,92,94,0,0,0,e617ab48,0
43,3,27,2,0,2150000043,0,0,0,978,1,0,90,11,2292,0,STEADY,326,2.35584,2.11045,0.190791,0.147239,0.0153374,100,0,8,1,0,1,1,55,106,0,15,64,e617ab48,0
43,3,27,2,0,2150000043,1,0,0,1734,1,0,90,28,4935,0,STEADY,578,3.69337,6.42685,0.137137,0.233564,0.0346021,150,6,26,1,0,1,0,55,106,0,15,102,e617ab48,0
44,4,28,3,0,2150000044,0,1,0,549,1,0,86,9,1666,0,STEADY,183,5.30744,3.3374,0.42823,0.234973,0.0273224,33,0,1,5,0,1,2,25,134,11,0,98,e617ab48,0
44,4,28,3,0,2150000044,1,1,0,550,1,0,47,9,1747,0,STEADY,184,4.97714,2.98529,0.394467,0.25,0.103261,21,3,1,5,1,1,1,64,136,13,0,214,e617ab48,0
45,5,29,4,0,2150000045,0,2,1,976,1,95,0,18,2712,0,STEADY,326,2.7144,1.90145,0.196552,0.411043,0.141104,0,0,13,2,0,2,1,102,46,0,9,111,e617ab48,0
45,5,29,4,0,2150000045,1,2,1,2620,1,75,0,28,5772,0,STEADY,874,2.65238,5.01238,0.175097,0.168192,0.0606407,0,0,9,8,1,9,1,102,66,0,7,24,e617ab48,0
46,6,30,5,0,2150000046,0,3,1,2700,3,118,67,42,7278,0,STEADY,900,1.72107,2.62366,0.131029,0.0211111,0.0755556,0,0,40,0,1,0,1,58,13,0,0,47,e617ab48,0
