a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,5,1035,2,2,3,0,1,829,1,0,26,61,0,0
5,0,1035,2,2,0,3,0,694,1,36,0,0,66,0
0,6,1000,0,0,0,1,0,720,1,21,0,1,34,0
6,0,1000,0,0,1,0,1,720,1,0,21,34,1,0
0,6,1001,1,0,0,1,0,540,1,23,0,29,30,0
6,0,1001,1,0,1,0,1,803,1,0,41,0,21,0
0,6,1002,2,0,0,1,1,961,1,0,38,160,126,0
6,0,1002,2,0,1,0,0,579,1,30,0,0,40,0
0,6,1003,0,1,0,1,1,515,1,0,8,71,27,0
6,0,1003,0,1,1,0,0,515,1,8,0,27,71,0
0,6,1004,1,1,0,1,0,677,1,68,0,0,11,0
6,0,1004,1,1,1,0,1,1063,1,0,19,0,12,0
0,6,1005,2,1,0,1,0,870,1,19,0,12,13,0
6,0,1005,2,1,1,0,0,689,1,1,0,0,20,0
0,6,1006,0,2,0,1,0,900,1,22,0,41,38,0
6,0,1006,0,2,1,0,1,900,1,0,22,38,41,0
0,6,1007,1,2,0,1,0,525,1,20,0,5,35,0
6,0,1007,1,2,1,0,0,770,1,37,0,16,23,0
0,6,1008,2,2,0,1,0,589,1,28,0,8,25,0
6,0,1008,2,2,1,0,0,874,1,20,0,6,17,0
0,6,1009,0,0,1,2,1,747,1,0,42,24,5,0
6,0,1009,0,0,2,1,0,747,1,42,0,5,24,0
0,6,1010,1,0,1,2,0,1405,1,21,0,199,234,0
6,0,1010,1,0,2,1,0,876,1,54,0,44,89,0
0,6,1011,2,0,1,2,1,697,1,0,89,89,49,0
6,0,1011,2,0,2,1,0,1199,1,18,0,3,28,0
0,6,1012,0,1,1,2,1,643,1,0,50,11,10,0
6,0,1012,0,1,2,1,0,640,1,79,0,65,93,0
0,6,1013,1,1,1,2,1,886,1,0,17,54,5,0
6,0,1013,1,1,2,1,0,555,1,15,0,15,88,0
0,6,1014,2,1,1,2,0,716,1,62,0,94,0,0
6,0,1014,2,1,2,1,0,870,1,17,0,65,146,0
0,6,1015,0,2,1,2,1,636,1,0,8,16,3,0
6,0,1015,0,2,2,1,0,636,1,8,0,3,16,0
0,6,1016,1,2,1,2,1,729,1,0,44,80,13,0
6,0,1016,1,2,2,1,0,643,1,73,0,21,86,0
0,6,1017,2,2,1,2,1,658,1,0,62,79,36,0
6,0,1017,2,2,2,1,0,651,1,28,0,34,75,0
0,6,1018,0,0,2,3,0,466,1,21,0,0,87,0
6,0,1018,0,0,3,2,1,466,1,0,21,87,0,0
0,6,1019,1,0,2,3,0,664,1,5,0,0,124,0
6,0,1019,1,0,3,2,0,836,1,11,0,119,48,0
0,6,1020,2,0,2,3,0,589,1,4,0,0,111,0
6,0,1020,2,0,3,2,1,600,1,0,68,37,0,0
0,6,1021,0,1,2,3,0,542,1,33,0,0,95,0
6,0,1021,0,1,3,2,1,542,1,0,33,95,0,0
0,6,1022,1,1,2,3,1,492,1,0,9,13,74,0
6,0,1022,1,1,3,2,1,420,1,0,55,64,0,0
0,6,1023,2,1,2,3,0,629,1,42,0,0,58,0
6,0,1023,2,1,3,2,1,434,1,0,64,57,0,0
0,6,1024,0,2,2,3,1,513,1,0,43,0,73,0
6,0,1024,0,2,3,2,0,513,1,43,0,73,0,0
0,6,1025,1,2,2,3,0,480,1,62,0,0,80,0
6,0,1025,1,2,3,2,0,487,1,48,0,75,3,0
0,6,1026,2,2,2,3,0,474,1,16,0,0,96,0
6,0,1026,2,2,3,2,1,474,1,0,55,72,0,0
0,6,1027,0,0,3,0,0,640,1,3,0,111,26,0
6,0,1027,0,0,0,3,1,640,1,0,3,26,111,0
0,6,1028,1,0,3,0,1,660,1,0,70,107,10,0
6,0,1028,1,0,0,3,0,1060,1,28,0,89,191,0
0,6,1029,2,0,3,0,1,928,1,0,2,159,0,0
6,0,1029,2,0,0,3,0,785,1,15,0,37,157,0
0,6,1030,0,1,3,0,0,584,1,27,0,178,0,0
6,0,1030,0,1,0,3,1,584,1,0,27,0,178,0
0,6,1031,1,1,3,0,0,586,1,14,0,160,0,0
6,0,1031,1,1,0,3,0,582,1,3,0,5,134,0
0,6,1032,2,1,3,0,0,571,1,27,0,213,73,0
6,0,1032,2,1,0,3,0,468,1,28,0,34,123,0
0,6,1033,0,2,3,0,1,684,1,0,19,141,101,0
6,0,1033,0,2,0,3,0,684,1,19,0,101,141,0
0,6,1034,1,2,3,0,1,585,1,0,16,119,0,0
6,0,1034,1,2,0,3,0,540,1,21,0,0,87,0
0,6,1035,2,2,3,0,0,499,1,13,0,93,19,0
6,0,1035,2,2,0,3,0,531,1,2,0,18,79,0
0,7,1000,0,0,0,1,0,420,1,10,0,0,0,0
7,0,1000,0,0,1,0,1,420,1,0,10,0,0,0
0,7,1001,1,0,0,1,1,509,1,0,45,0,0,0
7,0,1001,1,0,1,0,0,509,1,45,0,0,0,0
0,7,1002,2,0,0,1,1,342,1,0,90,0,0,0
7,0,1002,2,0,1,0,0,342,1,72,0,0,0,0
0,7,1003,0,1,0,1,1,409,1,0,38,0,0,0
7,0,1003,0,1,1,0,0,409,1,38,0,0,0,0
0,7,1004,1,1,0,1,0,478,1,18,0,0,0,0
7,0,1004,1,1,1,0,1,478,1,0,18,0,0,0
0,7,1005,2,1,0,1,1,535,1,0,2,0,0,0
