case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
98,18,9,4,1,1900000098,1,0,0,1877,1,0,149,32,4810,0
99,19,10,5,2,1900000099,0,1,0,687,1,0,124,14,2680,0
99,19,10,5,2,1900000099,1,1,0,690,1,0,124,14,2680,0
100,20,11,0,0,1900000100,0,2,0,2700,3,66,114,49,8550,0
100,20,11,0,0,1900000100,1,2,0,1928,1,0,114,36,6340,0
101,21,12,1,1,1900000101,0,3,0,485,1,0,111,12,1960,0
101,21,12,1,1,1900000101,1,3,0,596,1,0,111,14,2200,0
102,22,13,2,2,1900000102,0,0,0,1440,1,0,104,27,5620,0
102,22,13,2,2,1900000102,1,0,0,1450,1,0,104,27,5620,0
103,23,14,3,0,1900000103,0,1,0,759,1,0,113,18,2700,0
103,23,14,3,0,1900000103,1,1,0,735,1,0,113,17,2580,0
104,24,15,4,1,1900000104,0,2,0,769,2,125,118,18,2800,0
104,24,15,4,1,1900000104,1,2,0,775,2,125,118,18,2720,0
105,25,16,5,2,1900000105,0,3,0,987,2,17,115,23,3220,0
105,25,16,5,2,1900000105,1,3,0,1202,2,43,115,27,3700,0
106,26,17,0,0,1900000106,0,0,0,671,1,0,112,16,2460,0
106,26,17,0,0,1900000106,1,0,0,628,1,0,102,15,2340,0
107,27,18,1,1,1900000107,0,1,0,595,1,0,129,12,2350,0
107,27,18,1,1,1900000107,1,1,0,550,1,0,129,12,2350,0
108,28,19,2,2,1900000108,0,2,0,1088,1,0,132,20,3740,0
108,28,19,2,2,1900000108,1,2,0,527,1,0,132,10,2000,0
109,29,20,3,0,1900000109,0,3,0,810,2,46,102,16,2600,0
109,29,20,3,0,1900000109,1,3,0,810,2,60,102,18,2800,0
110,30,21,4,1,1900000110,0,0,0,1991,1,0,124,50,5280,0
110,30,21,4,1,1900000110,1,0,0,2181,2,5,124,55,5730,0
111,31,22,5,2,1900000111,0,1,0,2015,2,132,175,44,5850,0
111,31,22,5,2,1900000111,1,1,0,1603,2,132,175,35,4770,0
112,32,23,0,0,1900000112,0,2,0,1443,1,0,105,27,4950,0
112,32,23,0,0,1900000112,1,2,0,969,1,0,105,19,3590,0
113,33,24,1,1,1900000113,0,3,0,701,2,72,125,14,2520,0
113,33,24,1,1,1900000113,1,3,0,685,2,72,125,14,2520,0
114,34,25,2,2,1900000114,0,0,0,791,1,0,104,19,2680,0
114,34,25,2,2,1900000114,1,0,0,476,1,0,104,12,1840,0
115,35,26,3,0,1900000115,0,1,0,2185,1,0,108,48,6150,0
115,35,26,3,0,1900000115,1,1,0,803,1,0,108,19,2670,0
116,36,27,4,1,1900000116,0,2,0,698,2,72,145,11,2070,0
116,36,27,4,1,1900000116,1,2,0,694,2,78,145,10,1900,0
117,37,28,5,2,1900000117,0,3,0,916,1,0,111,18,3510,0
117,37,28,5,2,1900000117,1,3,0,881,1,0,111,17,3340,0
118,38,29,0,0,1900000118,0,0,0,2389,2,56,102,43,7530,0
118,38,29,0,0,1900000118,1,0,0,2700,3,56,102,49,8550,0
119,39,30,1,1,1900000119,0,1,0,854,1,0,125,20,2960,0
119,39,30,1,1,1900000119,1,1,0,467,1,0,122,12,2000,0
120,0,38,3,0,1900000120,0,3,0,619,1,0,104,15,2210,0
120,0,38,3,0,1900000120,1,3,0,715,1,0,104,17,2450,0
121,1,39,4,1,1900000121,0,0,0,713,2,136,114,18,2490,0
121,1,39,4,1,1900000121,1,0,0,713,2,136,114,18,2490,0
122,2,0,5,2,1900000122,0,1,0,962,2,94,113,18,3490,0
122,2,0,5,2,1900000122,1,1,0,921,1,0,105,17,3320,0
123,3,1,0,0,1900000123,0,2,0,658,1,0,136,14,2610,0
123,3,1,0,0,1900000123,1,2,0,570,1,0,136,12,2320,0
124,4,2,1,1,1900000124,0,3,0,406,1,0,94,11,1880,0
124,4,2,1,1,1900000124,1,3,0,391,1,0,94,11,1880,0
125,5,3,2,2,1900000125,0,0,0,694,2,129,106,16,2600,0
125,5,3,2,2,1900000125,1,0,0,692,2,33,106,11,2080,0
126,6,4,3,0,1900000126,0,1,0,2170,1,0,123,40,7060,0
126,6,4,3,0,1900000126,1,1,0,1762,1,0,123,33,5870,0
127,7,5,4,1,1900000127,0,2,0,579,1,0,141,14,2150,0
127,7,5,4,1,1900000127,1,2,0,484,1,0,141,12,1910,0
128,8,6,5,2,1900000128,0,3,0,780,2,94,131,19,2690,0
128,8,6,5,2,1900000128,1,3,0,774,2,110,131,18,2570,0
129,9,7,0,0,1900000129,0,0,0,445,1,0,94,11,1870,0
129,9,7,0,0,1900000129,1,0,0,358,1,0,97,9,1630,0
130,10,8,1,1,1900000130,0,1,0,1131,1,0,116,22,4010,0
130,10,8,1,1,1900000130,1,1,0,903,1,0,116,18,3330,0
131,11,9,2,2,1900000131,0,2,0,1735,1,0,149,38,5120,0
131,11,9,2,2,1900000131,1,2,0,2101,1,0,149,45,5960,0
132,12,10,3,0,1900000132,0,3,0,641,1,0,124,15,2310,0
132,12,10,3,0,1900000132,1,3,0,644,1,0,124,12,2020,0
133,13,11,4,1,1900000133,0,0,0,713,2,86,117,15,2810,0
133,13,11,4,1,1900000133,1,0,0,701,2,104,117,14,2640,0
134,14,12,5,2,1900000134,0,1,0,1154,1,0,111,27,3640,0
134,14,12,5,2,1900000134,1,1,0,1315,1,0,111,30,4080,0
135,15,13,0,0,1900000135,0,2,0,451,1,0,104,12,1770,0
135,15,13,0,0,1900000135,1,2,0,451,1,0,104,12,1770,0
136,16,14,1,1,1900000136,0,3,0,736,1,0,113,14,2890,0
